"","age","workclass","education.num","marital.status","occupation","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income","workclasscode","marital.statuscode","occupationcode","racecode","sexcode","native.countrycode","incomecode"
"910",47,"Private",9,"Divorced","Sales","White","Male",0,1876,40,"United-States","<=50K",3,1,12,5,2,39,1
"911",32,"Private",13,"Never-married","Prof-specialty","White","Male",0,1876,50,"United-States","<=50K",3,5,10,5,2,39,1
"912",53,"Private",9,"Separated","Adm-clerical","White","Female",0,1876,38,"United-States","<=50K",3,6,1,5,1,39,1
"913",32,"Private",10,"Never-married","Sales","White","Male",0,1876,60,"United-States","<=50K",3,5,12,5,2,39,1
"914",49,"Private",9,"Divorced","Craft-repair","White","Male",0,1876,40,"United-States","<=50K",3,1,3,5,2,39,1
"915",27,"Private",11,"Never-married","Prof-specialty","White","Female",0,1876,36,"Canada","<=50K",3,5,10,5,1,2,1
"916",26,"Private",13,"Never-married","Exec-managerial","White","Male",0,1876,38,"United-States","<=50K",3,5,4,5,2,39,1
"917",60,"Self-emp-not-inc",9,"Separated","Other-service","Black","Male",0,1876,50,"United-States","<=50K",5,6,8,3,2,39,1
"918",56,"Self-emp-not-inc",14,"Divorced","Sales","White","Male",0,1876,60,"United-States","<=50K",5,1,12,5,2,39,1
"919",58,"Private",12,"Divorced","Adm-clerical","White","Male",0,1876,40,"United-States","<=50K",3,1,1,5,2,39,1
"920",39,"Private",13,"Never-married","Sales","White","Male",0,1876,50,"United-States","<=50K",3,5,12,5,2,39,1
"921",53,"Private",14,"Divorced","Prof-specialty","White","Female",0,1876,38,"United-States","<=50K",3,1,10,5,1,39,1
"922",27,"Private",10,"Never-married","Craft-repair","Asian-Pac-Islander","Male",0,1876,45,"Cambodia","<=50K",3,5,3,2,2,1,1
"923",46,"Local-gov",14,"Divorced","Prof-specialty","White","Female",0,1876,60,"United-States","<=50K",2,1,10,5,1,39,1
"924",30,"Private",9,"Never-married","Exec-managerial","White","Male",0,1876,45,"United-States","<=50K",3,5,4,5,2,39,1
"925",38,"Local-gov",9,"Never-married","Craft-repair","White","Male",0,1876,40,"Canada","<=50K",2,5,3,5,2,2,1
"926",41,"Private",13,"Never-married","Prof-specialty","White","Female",0,1876,40,"United-States","<=50K",3,5,10,5,1,39,1
"927",27,"Private",9,"Never-married","Transport-moving","White","Male",0,1876,75,"United-States","<=50K",3,5,14,5,2,39,1
"928",43,"Private",13,"Divorced","Tech-support","White","Male",0,1876,40,"United-States","<=50K",3,1,13,5,2,39,1
"929",30,"Federal-gov",13,"Never-married","Prof-specialty","White","Male",0,1876,40,"United-States","<=50K",1,5,10,5,2,39,1
"930",25,"Private",13,"Never-married","Prof-specialty","White","Female",0,1876,40,"United-States","<=50K",3,5,10,5,1,39,1
"931",26,"Self-emp-not-inc",13,"Divorced","Exec-managerial","White","Male",0,1876,38,"United-States","<=50K",5,1,4,5,2,39,1
"932",53,"Local-gov",13,"Divorced","Prof-specialty","White","Female",0,1876,54,"United-States","<=50K",2,1,10,5,1,39,1
"933",39,"Private",7,"Divorced","Craft-repair","White","Male",0,1876,46,"United-States","<=50K",3,1,3,5,2,39,1
"934",47,"Local-gov",10,"Divorced","Prof-specialty","White","Female",0,1876,40,"United-States","<=50K",2,1,10,5,1,39,1
"935",44,"Private",10,"Separated","Craft-repair","White","Male",0,1876,55,"United-States","<=50K",3,6,3,5,2,39,1
"936",61,"Self-emp-not-inc",9,"Married-civ-spouse","Farming-fishing","White","Male",0,1848,60,"United-States",">50K",5,3,5,5,2,39,2
"937",44,"Private",12,"Married-civ-spouse","Craft-repair","White","Male",0,1848,40,"United-States",">50K",3,3,3,5,2,39,2
"938",28,"Private",9,"Married-civ-spouse","Craft-repair","White","Male",0,1848,42,"United-States",">50K",3,3,3,5,2,39,2
"939",34,"Private",13,"Married-civ-spouse","Prof-specialty","White","Male",0,1848,40,"Peru",">50K",3,3,10,5,2,29,2
"940",39,"Private",13,"Married-civ-spouse","Sales","White","Male",0,1848,40,"United-States",">50K",3,3,12,5,2,39,2
"941",41,"Private",11,"Married-civ-spouse","Tech-support","White","Male",0,1848,48,"United-States",">50K",3,3,13,5,2,39,2
"942",35,"Private",13,"Married-civ-spouse","Exec-managerial","White","Male",0,1848,70,"United-States",">50K",3,3,4,5,2,39,2
"943",34,"Private",9,"Married-civ-spouse","Craft-repair","White","Male",0,1848,50,"United-States",">50K",3,3,3,5,2,39,2
"944",30,"Private",12,"Married-civ-spouse","Exec-managerial","White","Male",0,1848,50,"United-States",">50K",3,3,4,5,2,39,2
"945",30,"Private",9,"Married-civ-spouse","Craft-repair","White","Male",0,1848,50,"United-States",">50K",3,3,3,5,2,39,2
"946",33,"Local-gov",13,"Married-civ-spouse","Adm-clerical","White","Male",0,1848,45,"United-States",">50K",2,3,1,5,2,39,2
"948",31,"Private",9,"Married-civ-spouse","Craft-repair","White","Male",0,1848,40,"United-States",">50K",3,3,3,5,2,39,2
"949",50,"Private",9,"Married-civ-spouse","Tech-support","White","Male",0,1848,40,"United-States",">50K",3,3,13,5,2,39,2
"950",27,"Private",9,"Married-civ-spouse","Prof-specialty","White","Male",0,1848,45,"United-States",">50K",3,3,10,5,2,39,2
"951",37,"Self-emp-not-inc",9,"Married-civ-spouse","Exec-managerial","White","Male",0,1848,65,"United-States",">50K",5,3,4,5,2,39,2
"952",30,"Private",9,"Married-civ-spouse","Craft-repair","White","Male",0,1848,40,"United-States",">50K",3,3,3,5,2,39,2
"953",49,"Private",10,"Married-civ-spouse","Prof-specialty","White","Male",0,1848,44,"United-States",">50K",3,3,10,5,2,39,2
"954",52,"State-gov",14,"Married-civ-spouse","Prof-specialty","Black","Female",0,1848,40,"United-States",">50K",6,3,10,3,1,39,2
"955",39,"Local-gov",8,"Married-civ-spouse","Transport-moving","White","Male",0,1848,40,"Nicaragua",">50K",2,3,14,5,2,27,2
"956",37,"Private",9,"Married-civ-spouse","Machine-op-inspct","White","Male",0,1848,48,"United-States",">50K",3,3,7,5,2,39,2
"957",39,"Private",14,"Married-civ-spouse","Prof-specialty","White","Male",0,1848,50,"United-States",">50K",3,3,10,5,2,39,2
"958",38,"Private",13,"Married-civ-spouse","Exec-managerial","White","Male",0,1848,54,"United-States",">50K",3,3,4,5,2,39,2
"959",44,"Private",13,"Married-civ-spouse","Prof-specialty","White","Male",0,1848,40,"United-States",">50K",3,3,10,5,2,39,2
"960",45,"Private",10,"Married-civ-spouse","Craft-repair","White","Male",0,1848,40,"United-States",">50K",3,3,3,5,2,39,2
"961",54,"Private",9,"Married-civ-spouse","Sales","White","Male",0,1848,40,"United-States",">50K",3,3,12,5,2,39,2
"962",58,"Private",12,"Married-civ-spouse","Machine-op-inspct","Black","Male",0,1848,40,"United-States",">50K",3,3,7,3,2,39,2
"963",36,"Federal-gov",13,"Married-civ-spouse","Adm-clerical","White","Male",0,1848,55,"United-States",">50K",1,3,1,5,2,39,2
"964",45,"Private",5,"Married-civ-spouse","Other-service","White","Male",0,1848,40,"United-States",">50K",3,3,8,5,2,39,2
"965",46,"Federal-gov",11,"Married-civ-spouse","Tech-support","White","Male",0,1848,40,"United-States",">50K",1,3,13,5,2,39,2
"966",41,"Private",9,"Married-civ-spouse","Sales","White","Male",0,1848,45,"United-States",">50K",3,3,12,5,2,39,2
"967",41,"Federal-gov",14,"Married-civ-spouse","Exec-managerial","White","Male",0,1848,40,"United-States",">50K",1,3,4,5,2,39,2
"968",34,"Private",9,"Married-civ-spouse","Craft-repair","White","Male",0,1848,50,"United-States",">50K",3,3,3,5,2,39,2
"969",33,"Federal-gov",16,"Married-civ-spouse","Prof-specialty","White","Male",0,1848,40,"United-States",">50K",1,3,10,5,2,39,2
"970",63,"Private",13,"Married-civ-spouse","Sales","White","Male",0,1848,40,"United-States",">50K",3,3,12,5,2,39,2
"971",56,"Private",10,"Married-civ-spouse","Sales","White","Male",0,1848,50,"United-States",">50K",3,3,12,5,2,39,2
"972",48,"Local-gov",9,"Married-civ-spouse","Tech-support","White","Female",0,1848,40,"United-States",">50K",2,3,13,5,1,39,2
"973",40,"Private",12,"Married-civ-spouse","Exec-managerial","White","Male",0,1848,55,"United-States",">50K",3,3,4,5,2,39,2
"974",59,"Private",10,"Married-civ-spouse","Exec-managerial","White","Male",0,1848,45,"United-States",">50K",3,3,4,5,2,39,2
"975",32,"Private",13,"Married-civ-spouse","Sales","White","Male",0,1848,50,"United-States",">50K",3,3,12,5,2,39,2
"976",29,"Local-gov",13,"Married-civ-spouse","Prof-specialty","White","Male",0,1848,60,"Germany",">50K",2,3,10,5,2,11,2
"977",41,"Private",9,"Married-civ-spouse","Craft-repair","White","Male",0,1848,40,"United-States",">50K",3,3,3,5,2,39,2
"978",30,"Private",10,"Married-civ-spouse","Sales","White","Male",0,1848,40,"United-States",">50K",3,3,12,5,2,39,2
"979",34,"State-gov",14,"Married-civ-spouse","Machine-op-inspct","White","Male",0,1848,40,"United-States",">50K",6,3,7,5,2,39,2
"980",41,"Private",10,"Married-civ-spouse","Transport-moving","White","Male",0,1848,65,"United-States",">50K",3,3,14,5,2,39,2
"981",46,"Private",13,"Married-civ-spouse","Prof-specialty","White","Male",0,1848,45,"United-States",">50K",3,3,10,5,2,39,2
"982",39,"Private",14,"Married-civ-spouse","Exec-managerial","White","Male",0,1848,45,"United-States",">50K",3,3,4,5,2,39,2
"983",26,"Private",9,"Married-civ-spouse","Craft-repair","Black","Male",0,1848,60,"United-States",">50K",3,3,3,3,2,39,2
"984",27,"Private",13,"Married-civ-spouse","Sales","White","Male",0,1848,55,"United-States",">50K",3,3,12,5,2,39,2
"985",61,"Private",13,"Married-civ-spouse","Prof-specialty","White","Male",0,1848,40,"United-States",">50K",3,3,10,5,2,39,2
"986",37,"Private",13,"Married-civ-spouse","Exec-managerial","White","Female",0,1848,40,"United-States",">50K",3,3,4,5,1,39,2
"987",67,"Private",10,"Married-civ-spouse","Sales","White","Male",0,1844,70,"United-States","<=50K",3,3,12,5,2,39,1
"989",66,"Self-emp-inc",9,"Married-civ-spouse","Sales","White","Male",0,1825,10,"United-States",">50K",4,3,12,5,2,39,2
"990",74,"Self-emp-not-inc",13,"Married-civ-spouse","Exec-managerial","White","Male",0,1825,12,"United-States",">50K",5,3,4,5,2,39,2
"991",66,"State-gov",9,"Married-civ-spouse","Exec-managerial","White","Male",0,1825,40,"United-States",">50K",6,3,4,5,2,39,2
"992",71,"Self-emp-not-inc",10,"Separated","Sales","Black","Male",0,1816,2,"United-States","<=50K",5,6,12,3,2,39,1
"993",80,"Private",10,"Never-married","Prof-specialty","White","Male",0,1816,60,"United-States","<=50K",3,5,10,5,2,39,1
"994",24,"Private",9,"Never-married","Other-service","White","Female",0,1762,40,"United-States","<=50K",3,5,8,5,1,39,1
"996",28,"Self-emp-not-inc",10,"Never-married","Transport-moving","White","Male",0,1762,40,"United-States","<=50K",5,5,14,5,2,39,1
"997",59,"Private",9,"Divorced","Sales","White","Female",0,1762,30,"United-States","<=50K",3,1,12,5,1,39,1
"998",24,"Private",9,"Never-married","Sales","White","Female",0,1762,32,"United-States","<=50K",3,5,12,5,1,39,1
"999",24,"Private",10,"Never-married","Sales","White","Male",0,1762,40,"United-States","<=50K",3,5,12,5,2,39,1
"1000",52,"Private",9,"Widowed","Sales","White","Female",0,1762,40,"United-States","<=50K",3,7,12,5,1,39,1
"1001",39,"Self-emp-not-inc",13,"Divorced","Adm-clerical","White","Male",0,1762,40,"United-States","<=50K",5,1,1,5,2,39,1
"1002",43,"Private",9,"Divorced","Other-service","Black","Female",0,1762,35,"United-States","<=50K",3,1,8,3,1,39,1
"1003",22,"Private",6,"Never-married","Sales","White","Female",0,1762,25,"United-States","<=50K",3,5,12,5,1,39,1
"1004",30,"Private",12,"Divorced","Adm-clerical","White","Female",0,1762,40,"United-States","<=50K",3,1,1,5,1,39,1
"1005",21,"Private",7,"Married-spouse-absent","Handlers-cleaners","White","Male",0,1762,40,"Dominican-Republic","<=50K",3,4,6,5,2,6,1
"1006",24,"Private",9,"Divorced","Protective-serv","White","Female",0,1762,40,"United-States","<=50K",3,1,11,5,1,39,1
"1007",21,"Private",10,"Never-married","Sales","White","Female",0,1762,28,"United-States","<=50K",3,5,12,5,1,39,1
"1008",49,"Private",14,"Divorced","Exec-managerial","White","Male",0,1755,45,"United-States",">50K",3,1,4,5,2,39,2
"1009",52,"Private",13,"Divorced","Prof-specialty","White","Female",0,1755,40,"United-States",">50K",3,1,10,5,1,39,2
"1010",38,"Private",10,"Divorced","Craft-repair","White","Male",0,1741,40,"United-States","<=50K",3,1,3,5,2,39,1
"1011",30,"Private",13,"Never-married","Sales","White","Male",0,1741,48,"United-States","<=50K",3,5,12,5,2,39,1
"1012",38,"Local-gov",13,"Never-married","Exec-managerial","Asian-Pac-Islander","Male",0,1741,40,"Vietnam","<=50K",2,5,4,2,2,40,1
"1013",25,"Private",8,"Never-married","Machine-op-inspct","White","Male",0,1741,40,"United-States","<=50K",3,5,7,5,2,39,1
"1014",34,"Private",13,"Never-married","Exec-managerial","White","Female",0,1741,45,"United-States","<=50K",3,5,4,5,1,39,1
"1015",24,"Federal-gov",13,"Never-married","Prof-specialty","White","Male",0,1741,45,"United-States","<=50K",1,5,10,5,2,39,1
"1016",25,"Private",13,"Never-married","Prof-specialty","White","Male",0,1741,40,"United-States","<=50K",3,5,10,5,2,39,1
"1017",31,"Private",13,"Never-married","Exec-managerial","White","Male",0,1741,38,"United-States","<=50K",3,5,4,5,2,39,1
"1018",39,"Federal-gov",13,"Never-married","Adm-clerical","White","Male",0,1741,40,"United-States","<=50K",1,5,1,5,2,39,1
"1019",35,"Private",9,"Divorced","Transport-moving","White","Male",0,1741,60,"United-States","<=50K",3,1,14,5,2,39,1
"1020",31,"Local-gov",6,"Never-married","Transport-moving","White","Male",0,1741,40,"United-States","<=50K",2,5,14,5,2,39,1
"1021",30,"Private",9,"Never-married","Machine-op-inspct","White","Male",0,1741,42,"United-States","<=50K",3,5,7,5,2,39,1
"1022",42,"Local-gov",14,"Never-married","Prof-specialty","White","Female",0,1741,35,"United-States","<=50K",2,5,10,5,1,39,1
"1023",42,"Private",10,"Divorced","Exec-managerial","White","Female",0,1741,50,"United-States","<=50K",3,1,4,5,1,39,1
"1024",41,"Private",13,"Never-married","Prof-specialty","White","Female",0,1741,40,"United-States","<=50K",3,5,10,5,1,39,1
"1025",46,"Private",9,"Divorced","Craft-repair","White","Male",0,1741,40,"United-States","<=50K",3,1,3,5,2,39,1
"1026",34,"Private",13,"Never-married","Exec-managerial","White","Male",0,1741,40,"United-States","<=50K",3,5,4,5,2,39,1
"1028",36,"Private",13,"Divorced","Exec-managerial","White","Male",0,1741,40,"United-States","<=50K",3,1,4,5,2,39,1
"1029",36,"Private",13,"Never-married","Sales","White","Female",0,1741,40,"United-States","<=50K",3,5,12,5,1,39,1
"1030",44,"Federal-gov",12,"Divorced","Adm-clerical","Black","Female",0,1741,40,"United-States","<=50K",1,1,1,3,1,39,1
"1031",28,"Private",9,"Divorced","Other-service","White","Female",0,1741,52,"United-States","<=50K",3,1,8,5,1,39,1
"1032",52,"Private",9,"Divorced","Adm-clerical","White","Female",0,1741,38,"United-States","<=50K",3,1,1,5,1,39,1
"1033",43,"Private",13,"Never-married","Adm-clerical","White","Male",0,1741,40,"United-States","<=50K",3,5,1,5,2,39,1
"1034",45,"Private",9,"Married-civ-spouse","Machine-op-inspct","White","Female",0,1740,40,"United-States","<=50K",3,3,7,5,1,39,1
"1035",30,"Private",13,"Married-civ-spouse","Prof-specialty","White","Male",0,1740,45,"United-States","<=50K",3,3,10,5,2,39,1
"1036",50,"Local-gov",10,"Married-civ-spouse","Adm-clerical","White","Male",0,1740,48,"United-States","<=50K",2,3,1,5,2,39,1
"1037",41,"Local-gov",13,"Married-civ-spouse","Prof-specialty","White","Female",0,1740,20,"United-States","<=50K",2,3,10,5,1,39,1
"1038",31,"Private",10,"Married-civ-spouse","Adm-clerical","White","Female",0,1740,20,"United-States","<=50K",3,3,1,5,1,39,1
"1039",27,"Self-emp-inc",9,"Married-civ-spouse","Craft-repair","White","Male",0,1740,40,"United-States","<=50K",4,3,3,5,2,39,1
"1040",63,"Private",13,"Married-civ-spouse","Sales","White","Male",0,1740,35,"United-States","<=50K",3,3,12,5,2,39,1
"1041",33,"Private",9,"Married-civ-spouse","Adm-clerical","White","Female",0,1740,25,"United-States","<=50K",3,3,1,5,1,39,1
"1042",28,"Private",9,"Married-civ-spouse","Transport-moving","White","Male",0,1740,40,"United-States","<=50K",3,3,14,5,2,39,1
"1043",34,"Local-gov",10,"Married-civ-spouse","Craft-repair","White","Male",0,1740,40,"United-States","<=50K",2,3,3,5,2,39,1
"1044",31,"Private",11,"Married-civ-spouse","Craft-repair","White","Male",0,1740,40,"United-States","<=50K",3,3,3,5,2,39,1
"1045",30,"Private",15,"Married-civ-spouse","Prof-specialty","Black","Male",0,1740,40,"Haiti","<=50K",3,3,10,3,2,14,1
"1046",47,"State-gov",12,"Married-civ-spouse","Protective-serv","White","Male",0,1740,40,"United-States","<=50K",6,3,11,5,2,39,1
"1047",35,"Private",9,"Married-civ-spouse","Craft-repair","White","Male",0,1740,40,"United-States","<=50K",3,3,3,5,2,39,1
"1048",32,"Private",10,"Married-civ-spouse","Sales","White","Male",0,1740,47,"United-States","<=50K",3,3,12,5,2,39,1
"1049",33,"Self-emp-not-inc",10,"Married-civ-spouse","Sales","White","Male",0,1740,50,"United-States","<=50K",5,3,12,5,2,39,1
"1050",38,"Private",9,"Married-civ-spouse","Craft-repair","White","Male",0,1740,48,"United-States","<=50K",3,3,3,5,2,39,1
"1051",35,"Self-emp-inc",10,"Married-civ-spouse","Sales","White","Male",0,1740,40,"United-States","<=50K",4,3,12,5,2,39,1
"1052",42,"Private",9,"Married-civ-spouse","Transport-moving","White","Male",0,1740,43,"United-States","<=50K",3,3,14,5,2,39,1
"1053",47,"Federal-gov",13,"Married-civ-spouse","Craft-repair","White","Male",0,1740,40,"United-States","<=50K",1,3,3,5,2,39,1
"1054",34,"Local-gov",9,"Married-civ-spouse","Other-service","White","Female",0,1740,35,"United-States","<=50K",2,3,8,5,1,39,1
"1055",53,"Private",10,"Married-civ-spouse","Exec-managerial","White","Male",0,1740,40,"United-States","<=50K",3,3,4,5,2,39,1
"1056",37,"Private",12,"Married-civ-spouse","Prof-specialty","White","Male",0,1740,45,"United-States","<=50K",3,3,10,5,2,39,1
"1057",33,"Private",10,"Married-civ-spouse","Craft-repair","White","Male",0,1740,40,"United-States","<=50K",3,3,3,5,2,39,1
"1059",38,"Local-gov",13,"Married-civ-spouse","Craft-repair","White","Male",0,1740,40,"United-States","<=50K",2,3,3,5,2,39,1
"1060",52,"Private",10,"Married-civ-spouse","Exec-managerial","White","Male",0,1740,60,"United-States","<=50K",3,3,4,5,2,39,1
"1061",35,"Local-gov",13,"Married-civ-spouse","Exec-managerial","White","Male",0,1740,80,"United-States","<=50K",2,3,4,5,2,39,1
"1062",46,"Private",14,"Married-civ-spouse","Adm-clerical","White","Male",0,1740,60,"United-States","<=50K",3,3,1,5,2,39,1
"1063",28,"Private",9,"Married-civ-spouse","Craft-repair","White","Male",0,1740,30,"United-States","<=50K",3,3,3,5,2,39,1
"1064",58,"Private",12,"Married-civ-spouse","Craft-repair","White","Male",0,1740,40,"United-States","<=50K",3,3,3,5,2,39,1
"1065",29,"Self-emp-inc",13,"Married-civ-spouse","Exec-managerial","White","Male",0,1740,70,"United-States","<=50K",4,3,4,5,2,39,1
"1066",30,"Private",10,"Married-civ-spouse","Craft-repair","White","Male",0,1740,40,"United-States","<=50K",3,3,3,5,2,39,1
"1067",53,"Federal-gov",9,"Married-civ-spouse","Transport-moving","White","Male",0,1740,50,"United-States","<=50K",1,3,14,5,2,39,1
"1068",53,"Private",9,"Married-civ-spouse","Other-service","Black","Male",0,1740,40,"United-States","<=50K",3,3,8,3,2,39,1
"1069",31,"Private",12,"Married-civ-spouse","Adm-clerical","White","Female",0,1740,40,"United-States","<=50K",3,3,1,5,1,39,1
"1070",46,"State-gov",10,"Married-civ-spouse","Exec-managerial","White","Male",0,1740,40,"United-States","<=50K",6,3,4,5,2,39,1
"1071",59,"Private",11,"Married-civ-spouse","Sales","White","Male",0,1740,50,"United-States","<=50K",3,3,12,5,2,39,1
"1072",62,"Self-emp-not-inc",9,"Married-civ-spouse","Craft-repair","White","Male",0,1740,40,"United-States","<=50K",5,3,3,5,2,39,1
"1073",46,"Private",9,"Married-civ-spouse","Handlers-cleaners","White","Male",0,1740,35,"United-States","<=50K",3,3,6,5,2,39,1
"1074",45,"Private",10,"Married-civ-spouse","Sales","White","Male",0,1740,50,"United-States","<=50K",3,3,12,5,2,39,1
"1075",63,"State-gov",10,"Married-civ-spouse","Adm-clerical","White","Male",0,1740,40,"United-States","<=50K",6,3,1,5,2,39,1
"1076",73,"Private",2,"Married-civ-spouse","Transport-moving","White","Male",0,1735,20,"United-States","<=50K",3,3,14,5,2,39,1
"1077",75,"Self-emp-not-inc",10,"Married-civ-spouse","Craft-repair","Black","Male",0,1735,40,"United-States","<=50K",5,3,3,3,2,39,1
"1078",45,"Local-gov",15,"Divorced","Prof-specialty","Black","Female",0,1726,40,"United-States","<=50K",2,1,10,3,1,39,1
"1079",39,"Private",9,"Divorced","Machine-op-inspct","White","Male",0,1726,40,"United-States","<=50K",3,1,7,5,2,39,1
"1080",32,"State-gov",10,"Divorced","Protective-serv","White","Female",0,1726,38,"United-States","<=50K",6,1,11,5,1,39,1
"1081",25,"Private",13,"Never-married","Exec-managerial","White","Female",0,1726,60,"United-States","<=50K",3,5,4,5,1,39,1
"1082",24,"Private",5,"Never-married","Machine-op-inspct","White","Male",0,1721,40,"United-States","<=50K",3,5,7,5,2,39,1
"1083",24,"Private",9,"Never-married","Other-service","Black","Male",0,1721,30,"United-States","<=50K",3,5,8,3,2,39,1
"1084",31,"Private",7,"Divorced","Handlers-cleaners","Black","Male",0,1721,40,"United-States","<=50K",3,1,6,3,2,39,1
"1085",31,"Private",10,"Never-married","Other-service","White","Male",0,1721,16,"United-States","<=50K",3,5,8,5,2,39,1
"1086",20,"Private",9,"Never-married","Adm-clerical","Black","Female",0,1721,30,"United-States","<=50K",3,5,1,3,1,39,1
"1087",39,"Private",10,"Divorced","Other-service","White","Female",0,1721,55,"United-States","<=50K",3,1,8,5,1,39,1
"1088",19,"Private",9,"Never-married","Other-service","White","Female",0,1721,40,"United-States","<=50K",3,5,8,5,1,39,1
"1089",18,"Private",9,"Never-married","Sales","White","Female",0,1721,40,"United-States","<=50K",3,5,12,5,1,39,1
"1090",18,"Private",10,"Never-married","Other-service","White","Male",0,1721,20,"United-States","<=50K",3,5,8,5,2,39,1
"1092",19,"Local-gov",10,"Never-married","Adm-clerical","White","Female",0,1721,30,"United-States","<=50K",2,5,1,5,1,39,1
"1093",17,"Private",7,"Never-married","Other-service","White","Male",0,1721,15,"United-States","<=50K",3,5,8,5,2,39,1
"1094",17,"Private",8,"Never-married","Other-service","White","Female",0,1721,25,"United-States","<=50K",3,5,8,5,1,39,1
"1096",19,"Private",10,"Never-married","Sales","Amer-Indian-Eskimo","Female",0,1721,25,"United-States","<=50K",3,5,12,1,1,39,1
"1097",21,"Private",10,"Never-married","Adm-clerical","White","Female",0,1721,35,"United-States","<=50K",3,5,1,5,1,39,1
"1098",23,"Private",10,"Never-married","Adm-clerical","White","Female",0,1721,40,"United-States","<=50K",3,5,1,5,1,39,1
"1099",39,"Self-emp-not-inc",6,"Married-spouse-absent","Other-service","White","Female",0,1721,15,"United-States","<=50K",5,4,8,5,1,39,1
"1100",20,"Private",10,"Never-married","Adm-clerical","White","Female",0,1719,28,"United-States","<=50K",3,5,1,5,1,39,1
"1101",20,"State-gov",12,"Never-married","Other-service","White","Male",0,1719,20,"United-States","<=50K",6,5,8,5,2,39,1
"1102",21,"Private",9,"Never-married","Other-service","White","Female",0,1719,16,"United-States","<=50K",3,5,8,5,1,39,1
"1103",18,"Private",9,"Never-married","Handlers-cleaners","White","Female",0,1719,15,"United-States","<=50K",3,5,6,5,1,39,1
"1105",19,"Private",10,"Never-married","Tech-support","White","Male",0,1719,16,"United-States","<=50K",3,5,13,5,2,39,1
"1106",22,"Private",10,"Never-married","Transport-moving","White","Male",0,1719,30,"United-States","<=50K",3,5,14,5,2,39,1
"1107",26,"Private",1,"Married-spouse-absent","Machine-op-inspct","White","Male",0,1719,40,"Mexico","<=50K",3,4,7,5,2,26,1
"1108",19,"Private",9,"Never-married","Other-service","White","Female",0,1719,40,"United-States","<=50K",3,5,8,5,1,39,1
"1109",22,"Private",9,"Married-spouse-absent","Sales","White","Male",0,1719,40,"United-States","<=50K",3,4,12,5,2,39,1
"1110",37,"Private",13,"Never-married","Machine-op-inspct","Black","Male",0,1719,32,"United-States","<=50K",3,5,7,3,2,39,1
"1111",47,"Private",5,"Divorced","Other-service","White","Female",0,1719,30,"United-States","<=50K",3,1,8,5,1,39,1
"1112",57,"Private",9,"Widowed","Other-service","White","Female",0,1719,25,"United-States","<=50K",3,7,8,5,1,39,1
"1113",21,"Private",10,"Never-married","Craft-repair","White","Male",0,1719,30,"United-States","<=50K",3,5,3,5,2,39,1
"1114",21,"Private",9,"Never-married","Other-service","Black","Male",0,1719,25,"United-States","<=50K",3,5,8,3,2,39,1
"1115",25,"Local-gov",9,"Never-married","Farming-fishing","White","Male",0,1719,16,"United-States","<=50K",2,5,5,5,2,39,1
"1116",23,"Private",13,"Never-married","Machine-op-inspct","White","Female",0,1719,40,"United-States","<=50K",3,5,7,5,1,39,1
"1117",17,"Private",5,"Never-married","Handlers-cleaners","White","Male",0,1719,15,"United-States","<=50K",3,5,6,5,2,39,1
"1119",17,"Private",7,"Never-married","Handlers-cleaners","White","Male",0,1719,18,"United-States","<=50K",3,5,6,5,2,39,1
"1120",20,"Private",10,"Never-married","Other-service","White","Male",0,1719,36,"United-States","<=50K",3,5,8,5,2,39,1
"1121",21,"Private",10,"Never-married","Tech-support","White","Female",0,1719,9,"United-States","<=50K",3,5,13,5,1,39,1
"1122",32,"Private",9,"Married-civ-spouse","Exec-managerial","White","Male",0,1672,60,"United-States","<=50K",3,3,4,5,2,39,1
"1123",50,"Self-emp-inc",9,"Married-civ-spouse","Craft-repair","White","Male",0,1672,60,"United-States","<=50K",4,3,3,5,2,39,1
"1124",31,"Private",10,"Married-civ-spouse","Other-service","White","Male",0,1672,50,"United-States","<=50K",3,3,8,5,2,39,1
"1125",60,"Self-emp-not-inc",5,"Married-civ-spouse","Farming-fishing","White","Male",0,1672,84,"United-States","<=50K",5,3,5,5,2,39,1
"1126",34,"Private",9,"Married-civ-spouse","Craft-repair","White","Male",0,1672,40,"United-States","<=50K",3,3,3,5,2,39,1
"1127",34,"Private",11,"Married-civ-spouse","Machine-op-inspct","White","Male",0,1672,50,"United-States","<=50K",3,3,7,5,2,39,1
"1128",45,"Federal-gov",9,"Married-civ-spouse","Adm-clerical","White","Male",0,1672,40,"United-States","<=50K",1,3,1,5,2,39,1
"1129",57,"Private",10,"Married-civ-spouse","Exec-managerial","White","Male",0,1672,45,"United-States","<=50K",3,3,4,5,2,39,1
"1130",55,"Private",7,"Married-civ-spouse","Other-service","Black","Male",0,1672,40,"United-States","<=50K",3,3,8,3,2,39,1
"1131",61,"Private",10,"Married-civ-spouse","Exec-managerial","White","Male",0,1672,40,"United-States","<=50K",3,3,4,5,2,39,1
"1132",51,"Self-emp-not-inc",13,"Married-civ-spouse","Exec-managerial","White","Male",0,1672,70,"United-States","<=50K",5,3,4,5,2,39,1
"1133",35,"Private",9,"Married-civ-spouse","Farming-fishing","White","Male",0,1672,50,"United-States","<=50K",3,3,5,5,2,39,1
